,toi,toipfx,pl_tranmid,pl_trandurh,pl_orbper,pl_trandep,pl_rade,st_teff,st_logg,st_rad,ra,dec,st_pmra,st_pmdec,pl_tranmiderr1,pl_tranmiderr2,pl_orbpererr1,pl_orbpererr2,pl_radeerr1,pl_radeerr2,st_tefferr1,st_tefferr2,st_loggerr1,st_loggerr2,st_raderr1,st_raderr2,st_pmraerr1,st_pmraerr2,st_pmdecerr1,st_pmdecerr2
19,EPIC 201197348.01,EPIC 201197348,2456825.1108,3.264,14.9139,240.0,3.24,,,0.647,177.0948891,-4.1644059,-20.7339,-1.57114,0.0045,-0.0042,0.0018,-0.002,0.33,-0.56,,,,,0.038,-0.024,0.075279,-0.075279,0.0383849,-0.0383849
20,EPIC 201231940.01,EPIC 201231940,2456810.511,0.32,0.57303573,510.0,3.35,3570.0,,0.43,174.1207146,-3.4828286,32.503,-70.9232,,,,,,,,,,,,,0.380832,-0.380832,0.265119,-0.265119
21,EPIC 201238110 b,EPIC 201238110,2456852.6572,,28.1656,,1.87,,,,179.7058532,-3.3894613,-25.1078,-12.4418,0.0023,-0.0023,0.0027,-0.0028,0.2,-0.45,,,,,,,0.10071,-0.10071,0.0489778,-0.0489778
22,EPIC 201238110 b,EPIC 201238110,2456824.4836,3.36,28.1696,316.0,2.2,,,0.374,179.7058532,-3.3894613,-25.1078,-12.4418,0.0063,-0.0051,0.0038,-0.0043,0.54,-0.3,,,,,0.089,-0.035,0.10071,-0.10071,0.0489778,-0.0489778
23,EPIC 201238110.01,EPIC 201238110,2456813.6895,1.92,7.90417,268.0,2.06,,,0.374,179.7058532,-3.3894613,-25.1078,-12.4418,0.0106,-0.0049,0.00091,-0.00148,0.53,-0.56,,,,,0.089,-0.035,0.10071,-0.10071,0.0489778,-0.0489778
24,EPIC 201238110.01,EPIC 201238110,2456813.675,1.73,7.9069606,280.0,3.02,3772.0,,0.52,179.7058532,-3.3894613,-25.1078,-12.4418,,,,,,,,,,,,,0.10071,-0.10071,0.0489778,-0.0489778
25,EPIC 201238163.01,EPIC 201238163,2456810.366,1.22,1.0829614,65.5,1.56,3875.0,,0.56,173.2627978,-3.3887192,-1.85508,9.68044,,,,,,,,,,,,,0.0836964,-0.0836964,0.0561952,-0.0561952
26,EPIC 201239401.01,EPIC 201239401,2456810.9372,1.488,0.905655,67.8,1.57,,,0.576,173.0528796,-3.370321,-15.3766,-13.3864,0.0025,-0.0024,4.9e-05,-5e-05,0.16,-0.26,,,,,0.04,-0.028,0.0763184,-0.0763184,0.0460621,-0.0460621
27,EPIC 201239401.01,EPIC 201239401,2456810.944,1.32,0.90552205,79.10000000000001,1.52,3710.0,,0.5,173.0528796,-3.370321,-15.3766,-13.3864,,,,,,,,,,,,,0.0763184,-0.0763184,0.0460621,-0.0460621
28,EPIC 201247497.01,EPIC 201247497,2456810.901,1.24,2.7541129,671.0,4.87,3834.0,,0.55,177.9464521,-3.2460183,-20.9618,10.9812,,,,,,,,,,,,,0.17973,-0.17973,0.108323,-0.108323
