,toi,toipfx,pl_tranmid,pl_trandurh,pl_orbper,pl_trandep,pl_rade,st_teff,st_logg,st_rad,ra,dec,st_pmra,st_pmdec,pl_tranmiderr1,pl_tranmiderr2,pl_orbpererr1,pl_orbpererr2,pl_radeerr1,pl_radeerr2,st_tefferr1,st_tefferr2,st_loggerr1,st_loggerr2,st_raderr1,st_raderr2,st_pmraerr1,st_pmraerr2,st_pmdecerr1,st_pmdecerr2
565,EPIC 210472483.01,EPIC 210472483,2457062.307061,4.654,1.1430018,4202.0,,5551.0,,3.28495,64.285922,14.9363492,6.60383,-11.322,,,,,,,123.0,-123.0,,,,,0.0518352,-0.0518352,0.0386294,-0.0386294
566,EPIC 210495066.01,EPIC 210495066,2457063.4744,1.872,3.74234,94.39999999999999,1.61,,,0.502,60.3093491,15.3279672,35.1766,-26.4697,0.0026,-0.0027,0.00027,-0.00027,0.37,-0.22,,,,,0.11,-0.02,0.088058,-0.088058,0.0486805,-0.0486805
567,EPIC 210508766.03,K2-83,2457074.4696,1.272,24.2747,123.89999999999999,1.56,,,0.424,59.9013782,15.5587994,-40.43,-18.7895,0.0017,-0.0018,0.0014,-0.0014,0.17,-0.25,,,,,0.025,-0.01,0.0596351,-0.0596351,0.0347211,-0.0347211
568,EPIC 210513446.01,EPIC 210513446,2457065.86784,1.6296,1.1489833,,76.0,5137.0,3.63,2.0,58.0186639,15.6353741,34.7672,14.6118,0.00029,-0.00029,8.9e-06,-8.9e-06,73.0,-73.0,120.0,-120.0,0.76,-0.76,1.6,-1.6,2.19165,-2.19165,2.19164,-2.19164
569,EPIC 210513446.01,EPIC 210513446,2457062.419156,1.856,1.14907861,2624.0,,5324.24,,1.00567,58.0186639,15.6353741,34.7672,14.6118,,,,,,,,,,,,,2.19165,-2.19165,2.19164,-2.19164
570,EPIC 210524811.01,EPIC 210524811,2457069.1588,1.656,7.46967,380.0,2.4,,,0.279,65.0559891,15.819996,10.7085,-67.63,0.003,-0.0026,0.00052,-0.00056,0.81,-2.25,,,,,0.042,-0.036,0.141946,-0.141946,0.110173,-0.110173
571,EPIC 210550063.01,EPIC 210550063,2457062.815716,2.085,2.16594452,62.0,,6194.54,4.28076,1.30635,61.1318619,16.216647,-8.14301,-9.44115,,,,,,,116.0,-101.05,0.095771,-0.060201,0.075129,-0.046519,0.0907344,-0.0907344,0.0421913,-0.0421913
572,EPIC 210550063.01,EPIC 210550063,2457062.81932,1.5264,2.165976,50.25,2.61,,,1.1,61.1318619,16.216647,-8.14301,-9.44115,0.00057,-0.00062,3.3e-05,-2.8e-05,0.44,-0.53,,,,,0.18,-0.15,0.0907344,-0.0907344,0.0421913,-0.0421913
573,EPIC 210550063.01,EPIC 210550063,2459449.712088,1.5926216,2.16595219375,43.12815,2.91081826,6194.54,4.28076,1.30635,61.1318619,16.216647,-8.14301,-9.44115,0.00162987,-0.00162987,1.573432e-05,-1.573432e-05,1.817786,-1.817786,108.52,-108.52,0.077986,-0.077986,0.060824,-0.060824,0.0907344,-0.0907344,0.0421913,-0.0421913
574,EPIC 210559259.01,EPIC 210559259,2457063.40874,4.457,14.27669647,110.0,,5160.0,4.6871,0.701437,59.4758973,16.3575273,9.775,-36.9804,,,,,,,130.33,-126.36,0.085368,-0.087862,0.041534,-0.043039,0.0784455,-0.0784455,0.0328155,-0.0328155
575,EPIC 210559259.01,EPIC 210559259,2457063.4244,,14.2683,,,4955.0,,0.6,59.4758973,16.3575273,9.775,-36.9804,0.0039,-0.0027,0.0012,-0.0012,,,,,,,0.02,-0.01,0.0784455,-0.0784455,0.0328155,-0.0328155
576,EPIC 210559259.01,EPIC 210559259,2457063.4255,3.624,14.26763,105.1,2.04,,,0.603,59.4758973,16.3575273,9.775,-36.9804,0.0021,-0.0022,0.0009,-0.00091,0.11,-0.25,,,,,0.013,-0.02,0.0784455,-0.0784455,0.0328155,-0.0328155
577,EPIC 210564155.01,EPIC 210564155,2457096.759,,4.86406,,1.09,3407.0,4.92702,0.298809,60.4636158,16.4328519,68.9963,-116.49,0.001,-0.001,0.00028,-0.00028,0.13,-0.13,157.0,-157.0,0.005906,-0.005906,0.008932,-0.008932,0.12747,-0.12747,0.0735187,-0.0735187
578,EPIC 210564155.01,EPIC 210564155,2457062.7025,1.272,4.86496,156.1,1.09,,,0.261,60.4636158,16.4328519,68.9963,-116.49,0.002,-0.0021,0.00029,-0.00028,0.18,-0.35,,,,,0.037,-0.044,0.12747,-0.12747,0.0735187,-0.0735187
579,EPIC 210576234.01,EPIC 210576234,2457071.678859,4.926,15.97700259,2990.0,,5692.43,,1.04527,53.7726155,16.615182,5.0,-38.4,,,,,,,,,,,,,2.8,-2.8,2.9,-2.9
580,EPIC 210598340.01,EPIC 210598340,2457063.09402,5.736,3.7342439,1285.9,30.71,,,2.642,56.8687464,16.9416013,5.46355,-7.48366,9.2e-05,-9.1e-05,9e-06,-9.1e-06,0.54,-6.89,,,,,0.044,-0.591,0.0931413,-0.0931413,0.0628452,-0.0628452
581,EPIC 210598340.01,EPIC 210598340,2457063.087439,5.781,3.73478175,1239.0,,6477.43,3.84369,2.27759,56.8687464,16.9416013,5.46355,-7.48366,,,,,,,134.58,-118.31,0.113859,-0.073823,0.10056,-0.158721,0.0931413,-0.0931413,0.0628452,-0.0628452
582,EPIC 210605073.01,EPIC 210605073,2457127.43651,,0.567055,,16.22,7020.0,4.0,1.42,65.623286,17.0378768,1.03865,-3.56797,0.00056,-0.00056,0.000145,-0.000145,6.26,-6.26,,,,,0.54,-0.54,0.34055,-0.34055,0.252587,-0.252587
583,EPIC 210605073.01,EPIC 210605073,2457062.22752,0.9624,0.5670195,1246.0,,,,,65.623286,17.0378768,1.03865,-3.56797,0.00071,-0.0007,9.1e-06,-9.1e-06,,,,,,,,,0.34055,-0.34055,0.252587,-0.252587
584,EPIC 210609658.01,EPIC 210609658,2457074.40556,,14.145239,,14.86409395,5016.0,3.81,2.15381,55.7168593,17.1014246,4.49759,-19.4627,0.001149,-0.001113,0.000445,-0.000468,1.81319719,-1.51573469,50.0,-50.0,0.1,-0.1,0.2575,-0.210099,0.0723935,-0.0723935,0.052366,-0.052366
585,EPIC 210609658.01,EPIC 210609658,2457074.4139,15.0288,14.14459,,16.6,5011.0,3.663,2.69,55.7168593,17.1014246,4.49759,-19.4627,0.0024,-0.0024,0.00094,-0.00094,2.0,-2.0,56.0,-56.0,0.055,-0.055,0.2,-0.2,0.0723935,-0.0723935,0.052366,-0.052366
586,EPIC 210625740.01,EPIC 210625740,2457062.693,1.08,2.386772,1296.0,4.0,,,0.286,61.0019418,17.3280323,-1.99291,-29.1,0.0013,-0.0013,7.2e-05,-7.3e-05,1.5,-6.5,,,,,0.09,-0.37,0.310314,-0.310314,0.167021,-0.167021
587,EPIC 210625740.01,EPIC 210625740,2457065.0818,0.8904,2.38669,,3.5,3676.0,4.99,0.29,61.0019418,17.3280323,-1.99291,-29.1,0.0025,-0.0025,0.00013,-0.00013,2.4,-2.4,583.0,-583.0,0.2,-0.2,0.18,-0.18,0.310314,-0.310314,0.167021,-0.167021
588,EPIC 210626797.01,EPIC 210626797,2457072.56623,6.84,43.36143,828.0,29.8,,,1.472,54.2949263,17.3427499,-8.82226,-9.27388,0.00046,-0.00045,0.00065,-0.00066,9.3,-12.3,,,,,0.258,-0.075,0.0754697,-0.0754697,0.0559591,-0.0559591
589,EPIC 210629082.01,EPIC 210629082,2457086.01487,,27.353103,,3.05048319,6148.0,4.15,1.448467,57.2668796,17.3754864,-15.0886,-10.3977,0.005137,-0.005169,0.00729,-0.007472,0.69343493,-0.42840072,50.0,-50.0,0.1,-0.1,0.245169,-0.181312,0.0857874,-0.0857874,0.0531222,-0.0531222
590,EPIC 210659688.01,EPIC 210659688,2457065.0207,0.3504,2.35771,,3.0,3655.0,5.007,0.267,55.5807493,17.8002937,57.2901,-76.7557,0.0016,-0.0016,0.00011,-0.00011,1.8,-1.8,128.0,-128.0,0.054,-0.054,0.051,-0.051,0.189316,-0.189316,0.12803,-0.12803
591,EPIC 210659688.01,EPIC 210659688,2457062.6638,0.8352,2.357651,469.0,1.95,,,0.267,55.5807493,17.8002937,57.2901,-76.7557,0.0012,-0.0012,9.2e-05,-9e-05,0.38,-1.09,,,,,0.043,-0.06,0.189316,-0.189316,0.12803,-0.12803
592,EPIC 210659945.01,EPIC 210659945,2457073.16,3.24,27.9329,174.0,2.51,,,0.573,55.0113018,17.8043597,23.82,-49.38,0.0045,-0.0126,0.0083,-0.004,0.66,-0.42,,,,,0.144,-0.019,2.0,-2.0,2.0,-2.0
593,EPIC 210664763.01,EPIC 210664763,2457064.2512,1.224,3.72007,22.5,1.55,,,0.986,52.5196213,17.8712249,3.25303,-32.195,0.0045,-0.0065,0.00047,-0.00035,0.2,-0.33,,,,,0.077,-0.033,0.089521,-0.089521,0.0628082,-0.0628082
594,EPIC 210666756.01,EPIC 210666756,2457061.98814,1.586,1.39657671,189.0,,5805.0,4.48176,0.96977,58.435751,17.8987325,-18.5639,-34.613,,,,,,,138.35,-130.5,0.061565,-0.093926,0.059489,-0.04021,0.0705288,-0.0705288,0.0486386,-0.0486386
595,EPIC 210666756.01,EPIC 210666756,2457066.1862,1.00104,1.396291,,1.89,5728.0,4.43,1.02,58.435751,17.8987325,-18.5639,-34.613,0.0022,-0.0022,8.2e-05,-8.2e-05,0.44,-0.44,275.0,-275.0,0.14,-0.14,0.22,-0.22,0.0705288,-0.0705288,0.0486386,-0.0486386
596,EPIC 210678858.01,EPIC 210678858,2457073.0196,5.016,31.3537,197.0,3.85,,,0.816,51.5489144,18.0665887,24.381,-19.9366,0.0014,-0.0015,0.0019,-0.0019,0.25,-0.29,,,,,0.033,-0.023,0.09347,-0.09347,0.0700697,-0.0700697
597,EPIC 210678858.02,EPIC 210678858,2457070.2224,3.6,14.8484,101.8,2.68,,,0.816,51.5489144,18.0665887,24.381,-19.9366,0.0021,-0.002,0.0011,-0.001,0.18,-0.35,,,,,0.033,-0.023,0.09347,-0.09347,0.0700697,-0.0700697
598,EPIC 210678858.03,EPIC 210678858,2457071.2654,3.096,10.0696,39.5,1.69,,,0.816,51.5489144,18.0665887,24.381,-19.9366,0.0042,-0.0042,0.0012,-0.0013,0.15,-0.29,,,,,0.033,-0.023,0.09347,-0.09347,0.0700697,-0.0700697
599,EPIC 210696763.01,EPIC 210696763,2457061.51111,,3.6494,100.0,,3338.0,4.89775,0.326267,52.8346342,18.3160503,14.4037,-46.8551,,,,,,,157.0,-157.0,0.002541,-0.002541,0.009829,-0.009829,0.135247,-0.135247,0.105936,-0.105936
600,EPIC 210696763.01,EPIC 210696763,2457065.147,1.272,3.65017,192.0,1.15,,,0.249,52.8346342,18.3160503,14.4037,-46.8551,0.0025,-0.0026,0.00029,-0.00027,0.25,-0.24,,,,,0.05,-0.025,0.135247,-0.135247,0.105936,-0.105936
601,EPIC 210696763.02,EPIC 210696763,2457062.46172,,5.7663,90.0,,3338.0,4.89775,0.326267,52.8346342,18.3160503,14.4037,-46.8551,,,,,,,157.0,-157.0,0.002541,-0.002541,0.009829,-0.009829,0.135247,-0.135247,0.105936,-0.105936
602,EPIC 210696763.02,EPIC 210696763,2457062.4419,1.8,5.76808,209.0,1.19,,,0.249,52.8346342,18.3160503,14.4037,-46.8551,0.0026,-0.0027,0.0004,-0.0004,0.26,-0.25,,,,,0.05,-0.025,0.135247,-0.135247,0.105936,-0.105936
603,EPIC 210696763.03,EPIC 210696763,2457067.9254,1.92,7.98471,202.0,1.19,,,0.249,52.8346342,18.3160503,14.4037,-46.8551,0.0039,-0.0039,0.00104,-0.0009,0.27,-0.52,,,,,0.05,-0.025,0.135247,-0.135247,0.105936,-0.105936
604,EPIC 210696763.03,EPIC 210696763,2457059.96326,,7.98221,160.0,,3338.0,4.89775,0.326267,52.8346342,18.3160503,14.4037,-46.8551,,,,,,,157.0,-157.0,0.002541,-0.002541,0.009829,-0.009829,0.135247,-0.135247,0.105936,-0.105936
605,EPIC 210706310.01,EPIC 210706310,2457062.7095,,5.1718,,0.8891,5941.0,4.328,0.954,59.3753688,18.4535477,56.9199,-25.9609,0.0015,-0.0015,0.0002,-0.0002,0.0529,-0.0443,138.0,-138.0,0.15,-0.15,0.055,-0.052,0.0809495,-0.0809495,0.0553579,-0.0553579
606,EPIC 210708830.01,EPIC 210708830,2457064.1694,,5.7408,,1.0668,5342.0,4.704,0.76,58.2262717,18.4901888,-1.78505,-12.3466,0.0015,-0.0015,0.0002,-0.0002,0.0573,-0.0444,45.0,-45.0,0.074,-0.074,0.018,-0.018,0.0694717,-0.0694717,0.0347722,-0.0347722
607,EPIC 210736056.01,EPIC 210736056,2457044.19473,,29.0529,200.0,,3373.0,4.89895,0.325107,54.3977776,18.8962644,18.9509,-42.0596,,,,,,,157.0,-157.0,0.001535,-0.001535,0.010445,-0.010445,0.172695,-0.172695,0.129868,-0.129868
608,EPIC 210744674.01,EPIC 210744674,2457065.92025,3.23904,25.2208,,65.0,6257.0,4.19,1.41,65.8590018,19.0274791,-3.65463,-5.16601,0.00018,-0.00018,0.00019,-0.00019,26.0,-26.0,170.0,-170.0,0.14,-0.14,0.27,-0.27,0.0777463,-0.0777463,0.0598272,-0.0598272
609,EPIC 210744674.01,EPIC 210744674,2457065.92019,3.3,25.219709,3513.7999999999997,87.0,,,2.29,65.8590018,19.0274791,-3.65463,-5.16601,8.4e-05,-8.5e-05,6.4e-05,-6.5e-05,25.0,-43.0,,,,,0.3,-0.17,0.0777463,-0.0777463,0.0598272,-0.0598272
610,EPIC 210744674.01,EPIC 210744674,2457065.929742,3.162,25.2077883,3330.0,,6168.93,3.98242,1.83554,65.8590018,19.0274791,-3.65463,-5.16601,,,,,,,127.35,-152.92,0.087883,-0.093485,0.107673,-0.098633,0.0777463,-0.0777463,0.0598272,-0.0598272
611,EPIC 210754505.01,EPIC 210754505,2457062.285276,1.502,0.87052967,182.0,,6121.0,4.16573,1.47366,64.6449782,19.1790392,10.7251,-2.56875,,,,,,,134.83,-177.32,0.092382,-0.098351,0.110208,-0.071566,0.0646951,-0.0646951,0.0420572,-0.0420572
612,EPIC 210754505.01,EPIC 210754505,2460232.412765,1.007,0.8706763,186.1,6.52133,6121.0,4.16573,1.47,64.6449782,19.1790392,10.7251,-2.56875,0.0021584,-0.0021584,6e-07,-6e-07,0.423479,-0.423479,156.08,-156.08,0.095366,-0.095366,0.09,-0.09,0.0646951,-0.0646951,0.0420572,-0.0420572
613,EPIC 210754505.01,EPIC 210754505,2457077.07917,,0.870775,,3.97,5875.0,4.04,0.88,64.6449782,19.1790392,10.7251,-2.56875,0.00054,-0.00057,0.000223,-0.000223,0.47,-0.47,,,,,0.05,-0.05,0.0646951,-0.0646951,0.0420572,-0.0420572
614,EPIC 210754505.01,EPIC 210754505,2457065.76328,0.0,0.870673,,21.0,5647.0,3.969,1.74,64.6449782,19.1790392,10.7251,-2.56875,0.00073,-0.00073,1.7e-05,-1.7e-05,20.0,-20.0,29.0,-29.0,0.055,-0.055,0.13,-0.13,0.0646951,-0.0646951,0.0420572,-0.0420572
615,EPIC 210769880.01,EPIC 210769880,2457062.606967,2.367,1.43689647,124.0,,4876.7,,10.8463,62.5328988,19.4111732,-6.6413,-0.0888804,,,,,,,28.91,-28.91,,,,,0.234654,-0.234654,0.113891,-0.113891
616,EPIC 210769880.01,EPIC 210769880,2457062.60861,2.556,1.436756,112.5,110.0,,,10.91,62.5328988,19.4111732,-6.6413,-0.0888804,0.00089,-0.00088,3.3e-05,-3.4e-05,31.0,-31.0,,,,,1.15,-0.51,0.234654,-0.234654,0.113891,-0.113891
617,EPIC 210775710.01,EPIC 210775710,2457064.69728,,59.848566,,10.81438298,5738.0,4.4,0.983415,54.2743233,19.4995945,27.6266,-7.0591,0.000133,-0.000133,0.000184,-0.000183,1.15699812,-0.56645306,50.0,-50.0,0.1,-0.1,0.103631,-0.050435,0.0838929,-0.0838929,0.0504478,-0.0504478
618,EPIC 210775710.01,EPIC 210775710,2459518.397405,4.3696664,59.847399221,1139.27508,11.75567728,5765.3,4.38,1.09215,54.2743233,19.4995945,27.6266,-7.0591,0.00084979,-0.00084979,0.0011964216,-0.0011964216,0.6124999,-0.6124999,102.7,-102.7,0.07,-0.07,0.051708,-0.051708,0.0838929,-0.0838929,0.0504478,-0.0504478
619,EPIC 210775710.01,EPIC 210775710,2457064.69716,4.284,59.84871,1194.1999999999998,12.0,,,1.067,54.2743233,19.4995945,27.6266,-7.0591,0.00012,-0.00011,0.00016,-0.00016,1.35,-0.34,,,,,0.117,-0.017,0.0838929,-0.0838929,0.0504478,-0.0504478
620,EPIC 210777017.01,EPIC 210777017,2457070.3329,3.432,11.376,94.60000000000001,2.03,,,0.636,59.8886978,19.5192704,39.509,-62.5753,0.0035,-0.0037,0.0015,-0.0013,0.21,-0.33,,,,,0.055,-0.067,0.0516524,-0.0516524,0.0325366,-0.0325366
621,EPIC 210777017.01,EPIC 210777017,2457070.3337,,11.37698,,,4397.0,,0.64,59.8886978,19.5192704,39.509,-62.5753,0.0028,-0.0028,0.0012,-0.00086,,,,,,,0.06,-0.06,0.0516524,-0.0516524,0.0325366,-0.0325366
622,EPIC 210789323.01,EPIC 210789323,2457073.72092,2.74704,29.12555,,205.0,4936.0,3.28,3.9,55.4536223,19.7060261,2.70941,-14.8763,0.00032,-0.00032,0.00034,-0.00034,67.0,-67.0,146.0,-146.0,0.58,-0.58,2.7,-2.7,0.0663057,-0.0663057,0.0482812,-0.0482812
623,EPIC 210801536.01,EPIC 210801536,2457062.0816,1.992,0.8925,16.2,2.7,,,2.0,52.818831,19.8913826,-5.83304,14.6998,0.0069,-0.0061,0.00013,-0.00013,1.7,-2.3,,,,,1.3,-1.7,2.2308,-2.2308,2.23052,-2.23052
624,EPIC 210813978.01,EPIC 210813978,2457067.6121,,14.7582,,,4434.0,,0.7,57.1010868,20.081073,-20.2883,-27.6916,0.0033,-0.0046,0.0014,-0.0012,,,,,,,1.9,-1.9,2.08018,-2.08018,2.0801,-2.0801
625,EPIC 210813978.01,EPIC 210813978,2457067.6011,2.688,14.7619,71.4,2.11,,,0.735,57.1010868,20.081073,-20.2883,-27.6916,0.0037,-0.0038,0.0014,-0.0014,0.16,-5.4,,,,,0.045,-1.884,2.08018,-2.08018,2.0801,-2.0801
626,EPIC 210827030.01,EPIC 210827030,2457063.51863,,0.5111,710.0,,3092.0,5.03845,0.214796,61.7643174,20.2806046,169.646,-46.2341,,,,,,,157.0,-157.0,0.021645,-0.021645,0.006416,-0.006416,0.216225,-0.216225,0.144938,-0.144938
627,EPIC 210843708.01,EPIC 210843708,2457062.025169,1.775,0.7041655,117.0,,4564.0,,9.3189,57.7890482,20.5350814,6.42796,0.65138,,,,,,,122.0,-122.0,,,,,0.0765691,-0.0765691,0.0486743,-0.0486743
628,EPIC 210852232.01,EPIC 210852232,2457063.255,2.184,1.93426,27.799999999999997,1.64,,,0.928,58.8564158,20.6600216,-11.1808,-44.9551,0.0031,-0.0031,0.00016,-0.00015,0.24,-0.99,,,,,0.073,-0.042,0.0544741,-0.0544741,0.029469,-0.029469
629,EPIC 210852232.02,EPIC 210852232,2457065.0442,0.8016,3.43827,41.4,1.98,,,0.928,58.8564158,20.6600216,-11.1808,-44.9551,0.0019,-0.0019,0.00016,-0.00017,0.23,-0.31,,,,,0.073,-0.042,0.0544741,-0.0544741,0.029469,-0.029469
630,EPIC 210877025.01,EPIC 210877025,2457071.519871,6.304,18.03895153,121.0,,5089.61,4.47396,0.88619,56.6413292,21.0342354,18.9495,-19.1292,,,,,,,101.59,-118.04,0.079251,-0.090134,0.054427,-0.056005,0.0745771,-0.0745771,0.0502999,-0.0502999
631,EPIC 210903662.01,EPIC 210903662,2457063.425344,1.847,2.41040731,563.0,,6276.0,3.95894,1.92538,60.0511457,21.4475359,12.7606,-1.66516,,,,,,,137.29,-119.72,0.074667,-0.097573,0.099704,-0.096894,0.0915143,-0.0915143,0.0553259,-0.0553259
632,EPIC 210903662.01,EPIC 210903662,2457065.83883,1.84704,2.410271,,17.3,6390.0,4.17,1.51,60.0511457,21.4475359,12.7606,-1.66516,0.00024,-0.00024,1.5e-05,-1.5e-05,5.4,-5.4,291.0,-291.0,0.16,-0.16,0.37,-0.37,0.0915143,-0.0915143,0.0553259,-0.0553259
633,EPIC 210925707.01,EPIC 210925707,2457062.23826,4.923,1.6865884,4591.0,,6199.0,3.57767,2.93748,57.1204621,21.797343,-17.8313,-25.0705,,,,,,,154.19,-207.75,0.091759,-0.080621,0.152376,-0.136347,0.126563,-0.126563,0.0598393,-0.0598393
634,EPIC 210933299.01,EPIC 210933299,2457066.6995,2.256,8.4044,144.0,1.24,,,0.307,56.7378347,21.9166625,-10.8966,-71.3354,0.0071,-0.0067,0.0015,-0.0024,0.27,-0.58,,,,,0.057,-0.102,0.154997,-0.154997,0.0756278,-0.0756278
635,EPIC 210935498.01,EPIC 210935498,2457061.84539,2.1168,1.1829266,1588.9,29.0,,,1.51,58.3331051,21.9516663,-10.0,-9.5,4.2e-05,-4.1e-05,1.3e-06,-1.4e-06,7.5,-14.0,,,,,0.39,-0.73,1.4,-1.4,1.4,-1.4
636,EPIC 210945680.01,EPIC 210945680,2457075.5226,,20.5949,,1.5097,5969.0,4.386,1.059,53.2390995,22.1158827,19.1585,-15.2084,0.0019,-0.0013,0.0022,-0.001,0.0741,-0.079,20.0,-20.0,0.031,-0.031,0.018,-0.017,0.0833666,-0.0833666,0.0689601,-0.0689601
637,EPIC 210945680.01,EPIC 210945680,2457075.516123,3.9,20.600656,,2.166,5969.0,4.386,1.059,53.2390995,22.1158827,19.1585,-15.2084,0.010867,-0.004946,0.003989,-0.006457,0.08,-0.081,20.0,-20.0,0.031,-0.031,0.018,-0.017,0.0833666,-0.0833666,0.0689601,-0.0689601
638,EPIC 210954046.01,EPIC 210954046,2457128.33024,,0.950356,,6.94,6125.0,3.0,0.94,60.9037642,22.2491134,-0.0375781,-0.943997,0.00111,-0.00113,0.000177,-0.000177,1.08,-1.08,,,,,0.1,-0.1,0.126669,-0.126669,0.0670672,-0.0670672
639,EPIC 210956385.01,EPIC 210956385,2457065.41887,5.736,56.6205,718.7,7.68,,,0.904,57.4807753,22.2843374,3.99694,-7.90332,0.00078,-0.00079,0.0011,-0.0011,0.68,-0.58,,,,,0.073,-0.046,0.0554669,-0.0554669,0.034667,-0.034667
640,EPIC 210958990.01,EPIC 210958990,2457065.7829,2.53896,1.702301,,19.1,6116.0,4.24,1.28,62.7540713,22.325288,7.34198,-17.3949,0.0042,-0.0042,1.8e-05,-1.8e-05,4.2,-4.2,232.0,-232.0,0.16,-0.16,0.28,-0.28,0.0980022,-0.0980022,0.0704876,-0.0704876
641,EPIC 210961508.01,EPIC 210961508,2457062.10959,1.9032,0.3499146,110.36,39.4,,,2.43,59.920055,22.3658789,-8.54562,-23.269,0.00027,-0.00027,2.4e-06,-2.4e-06,5.8,-6.1,,,,,0.1,-0.3,0.109682,-0.109682,0.0471337,-0.0471337
642,EPIC 210961508.01,EPIC 210961508,2457087.65251,,0.349935,,2.18,4925.0,3.42,0.76,59.920055,22.3658789,-8.54562,-23.269,0.00043,-0.00041,4.2e-05,-4.2e-05,0.25,-0.25,,,,,0.04,-0.04,0.109682,-0.109682,0.0471337,-0.0471337
643,EPIC 210965800.02,K2-178,2457063.8492,2.808,4.27681,53.6,2.27,,,0.938,52.8888524,22.4348186,-7.58972,-10.7712,0.0023,-0.0022,0.00022,-0.00023,0.21,-0.47,,,,,0.055,-0.044,0.0738392,-0.0738392,0.0517396,-0.0517396
644,EPIC 210965800.03,K2-178,2457071.1456,4.056,13.16121,73.1,2.62,,,0.938,52.8888524,22.4348186,-7.58972,-10.7712,0.0024,-0.0023,0.00099,-0.00096,0.24,-0.43,,,,,0.055,-0.044,0.0738392,-0.0738392,0.0517396,-0.0517396
645,EPIC 210965800.04,K2-178,2457064.5448,4.728,21.0858,87.2,2.95,,,0.938,52.8888524,22.4348186,-7.58972,-10.7712,0.0024,-0.0021,0.0012,-0.0012,0.25,-0.42,,,,,0.055,-0.044,0.0738392,-0.0738392,0.0517396,-0.0517396
646,EPIC 210965800.05,K2-178,2457066.1436,5.256,30.2894,54.9,2.33,,,0.938,52.8888524,22.4348186,-7.58972,-10.7712,0.0034,-0.0034,0.0032,-0.0032,0.23,-0.42,,,,,0.055,-0.044,0.0738392,-0.0738392,0.0517396,-0.0517396
647,EPIC 210965800.06,K2-178,2457062.0985,2.352,1.82876,23.5,1.46,,,0.938,52.8888524,22.4348186,-7.58972,-10.7712,0.0032,-0.0031,0.00015,-0.00015,0.2,-1.23,,,,,0.055,-0.044,0.0738392,-0.0738392,0.0517396,-0.0517396
648,EPIC 210967369.01,EPIC 210967369,2457062.4873,,7.1149,,0.9835,5534.0,4.411,0.953,52.9355857,22.4598921,-7.21021,-27.9355,0.0028,-0.003,0.0006,-0.0006,0.0483,-0.0499,138.0,-138.0,0.15,-0.15,0.058,-0.055,0.0765441,-0.0765441,0.0523284,-0.0523284
649,EPIC 211002562.01,EPIC 211002562,2457062.10541,3.7248,3.347872,1333.3999999999999,28.1,,,2.2,52.2140799,23.0155211,14.2513,-2.98169,0.00012,-0.00012,1e-05,-1e-05,5.8,-2.4,,,,,0.46,-0.18,0.0967666,-0.0967666,0.0715533,-0.0715533
650,EPIC 211009047.01,EPIC 211009047,2457062.306729,1.588,1.31982263,213.0,,6196.8,3.58502,2.91272,61.0894452,23.1177955,-4.88732,-9.19105,,,,,,,106.5,-110.59,0.106734,-0.069485,0.121728,-0.220162,0.154804,-0.154804,0.0657174,-0.0657174
651,EPIC 211058748.01,EPIC 211058748,2457061.9237,1.656,3.32257,47.6,2.53,,,1.108,59.1328735,23.91146,26.11,-80.08,0.002,-0.0021,0.00016,-0.00016,0.25,-0.39,,,,,0.076,-0.024,2.0,-2.0,2.0,-2.0
652,EPIC 211064647.01,EPIC 211064647,2457106.9788,7.176,,1265.0,44.0,,,1.6,63.3668036,24.0030491,42.4715,-33.7903,0.0011,-0.0011,,,13.0,-17.0,,,,,0.12,-0.12,0.0821404,-0.0821404,0.0529958,-0.0529958
653,EPIC 211082420.01,HIP 17704,2457065.38,,2.4616,7530.0,,9962.0,4.11227,2.32365,56.8728112,24.2881368,18.6019,-46.752,,,,,,,346.88,-550.13,0.051755,-0.092357,0.084019,-0.059077,0.176944,-0.176944,0.132635,-0.132635
654,EPIC 211087003.01,EPIC 211087003,2457084.10719,6.792,,796.0,8.7,,,0.96,59.3313141,24.3590848,18.0282,-23.2583,0.00028,-0.00033,,,1.6,-1.3,,,,,0.18,-0.14,0.0947273,-0.0947273,0.0506586,-0.0506586
655,EPIC 211087003.02,EPIC 211087003,2457064.1582,4.464,28.29213,127.0,3.55,,,0.96,59.3313141,24.3590848,18.0282,-23.2583,0.0014,-0.0027,0.00126,-0.001,0.66,-0.56,,,,,0.18,-0.14,0.0947273,-0.0947273,0.0506586,-0.0506586
656,EPIC 211093684.01,EPIC 211093684,2457057.67912,,7.0502,3670.0,,4947.69,4.65197,0.705709,57.4262424,24.4628062,18.8782,-46.6454,,,,,,,167.92,-123.03,0.085163,-0.124478,0.050538,-0.063115,0.073602,-0.073602,0.0514301,-0.0514301
657,EPIC 211106187.01,EPIC 211106187,2457072.27454,,14.643071,,66.04981083,4883.0,2.27,13.183733,59.0792238,24.6608202,29.2755,-12.9533,0.003038,-0.002793,0.001302,-0.001431,43.41467436,-14.82359399,98.0,-98.0,0.162,-0.162,4.638139,-2.661259,0.0540337,-0.0540337,0.0308981,-0.0308981
