pl_orbper,pl_rade,pl_tranmid,pl_trandep,st_teff,st_rad,st_logg,ra,dec
3.476642,11.5,2457142.41225,,,0.84,,129.1783954,19.1738012
3.476633,12.7,2457142.412293,2.0868,,0.865,,129.1783954,19.1738012
0.520451,,2458095.60163,3.4196,,,,129.6911414,19.2377968
,4.31,2457170.5231,0.0998,,1.294,,128.401884,19.3201861
39.5438,3.28,2457173.9892,0.0511,,1.294,,128.401884,19.3201861
,3.26,2457191.8906,0.0585,,1.294,,128.401884,19.3201861
26.8662,2.95,2457166.045,0.0479,,1.294,,128.401884,19.3201861
5.7837,1.38,2457143.6098,0.0107,,1.31,,130.4485798,19.3474745
5.781853,1.44284081,2457143.61686,,5739.0,1.383982,4.11,130.4485798,19.3474745
5.78,,2457143.635,0.0101,5758.27,1.70787,,130.4485798,19.3474745
1.324292,,2458096.37798,24.9317,7114.0,2.71166,3.77025,132.7133566,19.3572704
19.729071,2.239,2457155.83246,,4735.0,0.712,4.619,124.5363137,19.3660902
19.491,,2457158.827,0.1381,6128.0,1.3636,4.2324,136.5741931,19.4020565
19.491795,5.84689735,2457158.82591,,6046.0,1.410092,4.14,136.5741931,19.4020565
19.4921473,5.50689,2459575.851873,0.17,6128.0,1.36,4.23,136.5741931,19.4020565
19.492132,6.0,2457158.82481,,,1.48,,136.5741931,19.4020565
19.49221,5.76,2457158.82477,,6069.0,1.39,4.22,136.5741931,19.4020565
19.491965,6.8,2458113.94047,0.1777,6320.0,1.485,4.219,136.5741931,19.4020565
19.49183,5.96,2457158.82598,0.1639,,1.403,,136.5741931,19.4020565
19.4921498,,2458094.44793,,6025.0,1.38,4.25,136.5741931,19.4020565
19.491,5.5,2457158.82659,,6019.0,1.387,4.18,136.5741931,19.4020565
19.49213,6.12,2458113.93994,,6025.0,1.38,4.25,136.5741931,19.4020565
19.50735025,,2457158.821705,0.15,6128.0,1.3636,4.2324,136.5741931,19.4020565
1.982809,,2458096.84986,21.3762,3330.0,0.291,4.958,130.6641653,19.4143598
1.9828041248,10.89107018,2459500.669114,13.21050435,3213.0,0.293047,4.93347,130.6641653,19.4143598
1.9828,,2457139.15278,9.33,3213.0,0.293047,4.93347,130.6641653,19.4143598
29.724674,1.439,2457140.333201,,5339.0,0.854,4.515,126.5132158,19.5209728
0.616444,,2458096.06087,0.5674,4937.26,0.750931,4.59535,132.7148652,19.562251
7.218071,,2458099.51847,3.2035,6727.06,1.67346,4.14708,130.1087556,19.6864229
7.219626,,2458099.50648,3.1796,8075.0,2.55977,3.91392,130.0862865,19.6866788
7.220537,,2458099.5037,0.3983,5420.0,0.932,4.435,129.7034817,19.6912228
7.220943,,2458099.50089,3.4667,3092.0,0.292863,4.93367,129.6635506,19.6943963
10.55532,2.64,2457146.4947,0.158,,0.623,,136.1570235,19.7144139
10.555,,2457146.496,0.1249,4067.08,0.722281,4.52683,136.1570235,19.7144139
10.55632,2.86,2457167.605,,4067.08,0.722281,4.52683,136.1570235,19.7144139
1.4835,1.41,2457143.371,,3200.0,0.317944,4.9064,136.0877307,19.7801355
6.0162,,2457142.867,15.22,3249.0,0.400314,4.82637,132.7075113,19.8100975
1.092845,,2458096.45807,0.0236,5620.0,0.951,4.468,130.2927863,19.8185555
1.092673,,2458096.46283,0.0833,5140.0,0.783,4.557,130.0240979,19.8194993
1.092917,,2458096.45491,135.5446,7226.47,1.78223,4.14565,129.977531,19.8219052
0.907765,77.0,2457142.38229,,,1.21,,123.8977875,19.9148217
17.04066667,,2457158.842935,1.938,6117.37,,,137.3828987,20.048337
17.035203,53.0,2457141.81355,2.208,,1.51,,137.3828987,20.048337
63.84825,2.86,2457142.721,,3973.09,0.731598,4.50191,136.0883061,20.065397
63.8432,2.78,2457142.716,0.193,,0.594,,136.0883061,20.065397
8.986648,143.0368808,2457149.02845,,5265.0,4.260594,3.2,126.2049365,20.1529633
8.986,,2457140.043,4.8646,5523.32,11.8634,,126.2049365,20.1529633
0.279258,8.41,2457154.45219,,4071.0,0.62,4.838,131.2074245,20.1776135
32.5795,10.44,2457169.8535,2.421,,0.633,,123.6562874,20.17911
32.576,,2457169.858,3.8336,4217.0,0.694468,4.57431,123.6562874,20.17911
1.744546,,2458096.51613,20.6372,6530.0,2.316,3.921,136.9025177,20.21511
11.6158,,2457135.99138,8.83,3189.0,0.339085,4.88475,129.9249754,20.2958096
74.8,4.34,2458276.8646162,,5044.0,0.7,4.64,129.2823699,20.3992512
6.83292,1.3,2457145.1674,0.389,,0.18,,126.8358869,20.4055501
0.77845,,2457141.04082,0.39,3859.0,0.779314,4.42916,127.8743087,20.4103659
0.778,,2457140.262,0.5428,3859.0,0.779314,4.42916,127.8743087,20.4103659
0.923861,,2458096.37075,34.5965,6235.06,1.90631,3.96046,136.2196232,20.4151247
2.851451,,2458096.7269,99.2969,7137.0,2.22321,3.9455,135.585245,20.4303139
3.244126,,2458097.32148,40.5896,4274.11,0.987047,4.27547,133.2789525,20.4588868
0.821436,,2458096.14571,16.2008,6046.46,1.5043,4.13261,127.2828904,20.5702432
3.888853,,2458096.60805,2.5872,3693.0,0.696024,4.5728,137.5123668,20.5937973
3.696871,,2458095.87322,12.4336,6401.57,1.47855,4.2073,127.9352953,20.6637007
3.697161,,2458095.87327,3.5827,3120.0,0.245,4.991,127.794149,20.6641564
1.769505,,2458096.39804,17.6962,5988.0,1.16794,4.34462,136.7743166,20.690312
23.702342,,2458118.09327,4.8619,6280.0,1.869,4.021,136.8044416,20.8135797
2.714743,1.198,2458251.817363,,3634.0,0.415,4.802,128.1350093,20.8446748
5.169887,9.1,2458098.67929,0.3348,6830.0,1.45,4.256,134.6902795,20.8689789
5.1699026,9.23587,2460280.381301,0.311,6283.4,1.48,4.18,134.6902795,20.8689789
3.40819,,2458098.44045,16.4327,5416.13,0.849526,4.55423,128.1785549,20.8777376
2.22982,,2458096.61073,24.7831,7391.0,2.26072,3.95746,127.8582411,20.9166323
4.4455436,15.8181,2460277.666516,0.5839,6355.8,2.11,3.89,136.1699005,20.9314478
4.445559,15.9,2458099.34866,0.4228,6520.0,2.237,3.932,136.1699005,20.9314478
23.917716,,2458116.38421,3.2061,5050.0,0.828,4.507,128.7199403,20.946957
2.783705,2.4,2458095.55831,0.0538,5890.0,0.939,4.487,134.6329328,20.9512894
1.830767,,2458096.40493,15.7032,6141.42,0.98712,4.51379,137.317315,21.0025648
9.375266,3.545,2458095.801868,,4571.0,0.747,4.597,128.9278377,21.0637447
0.617674,,2458095.65639,59.8171,5271.68,1.10095,4.30878,137.4853283,21.0715037
0.986765,,2458095.87581,30.5455,6080.0,1.4,4.201,128.2828064,21.1399388
0.579309,,2458095.53528,47.1689,4888.0,0.999114,4.34193,134.8894772,21.1694877
1.204338,,2458095.76086,40.6463,5633.43,0.907171,4.52269,133.6160492,21.2872925
0.604228,,2458095.94672,19.626,,,,137.9316123,21.2909949
0.82182448,,2457142.832785,0.047,5990.46,2.64987,3.63301,129.83855,21.3907526
0.822,,2457140.365,0.0437,5990.46,2.64987,3.63301,129.83855,21.3907526
0.8218241,6.1,2457140.36496,0.0615,,2.66,,129.83855,21.3907526
0.816734,,2458095.60536,0.5075,6318.08,1.79519,4.02502,127.7771249,21.3980052
14.220246,,2458104.79491,10.1983,6130.0,1.461,4.185,136.2543849,21.4285385
0.547674,,2458095.88638,0.1629,4926.69,0.786265,4.55541,133.4259049,21.4505161
1.743013,,2458095.4999,47.0271,7935.6,2.95299,3.7763,133.4538787,21.4911903
0.55082,,2458095.88533,31.9979,,,,128.6412641,21.5530829
1.153456,,2458095.92758,12.8377,5378.01,2.96865,,136.0528301,21.562908
3.797473,,2458095.81109,11.8402,5024.68,0.785698,4.57184,133.2884088,21.690395
0.518748,,2458095.97005,15.7737,6490.0,1.31192,4.32611,132.7698139,21.7013424
0.518754,,2458095.96851,0.0228,5514.41,0.878754,4.53621,132.7657132,21.7047312
0.98972,,2458095.87427,16.8919,5424.29,1.13922,4.29798,135.9645577,21.7455039
4.845561,,2458096.15766,7.7469,5723.1,1.15426,4.32206,127.6043814,21.7469553
0.643142,,2458096.04961,45.0377,5412.54,1.05452,4.36509,137.1878696,21.7652377
1.466473,,2458096.68144,33.5755,4570.0,0.981,4.413,126.7538167,21.956952
7.112,,2457141.963,0.0585,5595.68,0.909317,4.51583,128.0731788,22.005792
7.1123703,1.85858,2460271.408598,0.0497,5595.7,0.91,4.52,128.0731788,22.005792
7.112134,2.7,2458102.13703,0.0553,5800.0,1.042,4.409,128.0731788,22.005792
7.112273,3.2,2457149.07288,,,0.96,,128.0731788,22.005792
7.11047482,,2457149.07988,0.07,5595.68,0.909317,4.51583,128.0731788,22.005792
1.991357,,2458095.74598,9.6349,6118.76,1.26082,4.29746,137.2794242,22.2030123
16.7004351,,2457144.700057,3.552,5018.76,1.09979,4.27453,133.3108723,22.2188747
16.709659,,2458097.12649,11.283,5018.76,1.09979,4.27453,133.3108723,22.2188747
20.016917,,2458098.54619,0.552,5790.0,0.97,4.451,135.7319963,22.3033664
1.488249,,2458095.99356,4.8367,4080.0,0.982781,4.25797,128.7020517,22.3253253
0.610205,,2458095.87662,13.633,5470.83,1.18417,,133.4208162,22.344148
1.07639,,2458095.97882,9.1275,6523.0,1.6002,4.15682,128.2791625,22.3581943
5.17518,1.53,2457140.5606,0.0317,,0.826,,132.2470045,22.4308666
9.73605539,,2457151.160962,0.122,5508.0,0.946449,4.47265,126.1744434,22.6888782
2.22645,2.6,2457140.2532,0.0997,,0.782,,129.2119475,22.7410958
2.226,,2457140.262,0.0676,5013.0,0.778333,4.57482,129.2119475,22.7410958
3.209,,2457142.373,0.2016,5060.51,0.910204,,126.0234932,22.7832013
3.209185,40.1,2457142.37219,,,0.89,,126.0234932,22.7832013
3.209149,5.27465763,2457142.37287,,5182.0,0.839324,4.55,126.0234932,22.7832013
3.2092033,6.33877,2460280.973096,0.2038,5060.5,0.91,,126.0234932,22.7832013
2.91825,1.65,2457140.1008,0.0402,,0.776,,127.9211671,22.8415869
2.918,,2457140.099,0.0246,4996.93,0.763904,4.59002,127.9211671,22.8415869
0.898,,2457139.982,0.1878,,,,128.1695507,23.0320039
0.898216,4.02,2457190.28605,,5528.0,0.82,4.482,128.1695507,23.0320039
0.898344,9.8,2457139.9814,0.2531,,0.9,,128.1695507,23.0320039
0.898312,32.0,2457142.67716,,,0.79,,128.1695507,23.0320039
0.89803906,,2457142.683719,0.163,,,,128.1695507,23.0320039
6.676,,2457141.311,3.9424,4036.0,,,132.7540985,23.0836613
1.023613,,2458096.35564,1.101,6658.58,2.97485,3.63727,136.5483277,23.1235964
0.545702,,2458095.55728,0.0532,5330.0,4.752,3.514,133.2271026,23.2428226
4.70751,1.52,2457143.1423,0.0209,,0.998,,127.6541149,23.2451004
5.173531,,2458098.85411,5.858,5188.24,1.14689,4.2635,134.213013,23.3304435
5.489456,,2458099.59388,37.0025,5151.0,3.27338,,133.3328045,23.5317481
0.699705,,2458095.85587,24.4959,6804.44,2.09781,3.95889,135.2256611,23.6101958
0.555317,,2458095.74524,41.6594,5295.0,1.07851,4.33146,135.8050393,23.7715847
0.569192,,2458095.70026,27.6502,6510.0,1.51974,4.20163,131.9299153,23.7750461
0.751394,,2458095.93405,62.8169,5480.0,1.27317,4.21057,130.9328783,23.7965421
1.17715,,2458095.9442,29.4749,6390.0,2.529,3.846,134.3375726,24.1141415
9.148701,,2458098.32727,11.97,6072.0,1.8215,3.97029,129.5703396,24.5120206
1.190316,,2458096.29198,1.4098,3420.0,0.335,4.916,131.0553251,24.5162853
2.724469,,2458096.01388,66.5629,6707.0,1.60222,4.18091,130.2720943,24.5424323
12.886147,,2458095.90925,6.2814,5033.0,0.805017,4.55074,132.9302232,24.6172215
0.723102,,2458096.08482,5.8108,5897.77,1.19162,4.31518,131.5960511,24.7569414
6.924808,8.5,2458097.18479,0.9578,5300.0,0.795,4.55,131.7746924,24.9394118
0.526018,,2458095.72081,23.6909,3614.0,0.671247,4.59239,133.8758538,25.0205528
1.190354,,2458096.29164,36.3154,6350.0,2.407,3.88,131.0673398,25.0757683
0.793048,,2458096.13909,20.04,5459.0,1.76335,3.92312,131.8385066,25.1656263
0.594392,,2458095.90962,40.6214,5552.0,,,130.4122681,25.1826645
1.160308,,2458096.03616,20.5206,4331.0,0.883616,4.37613,130.7070546,25.1910877
5.190254,,2458099.42803,69.6741,3120.0,0.645,3.97,132.092118,25.2432742
11.480611,23.562,2458104.4746,,4692.0,5.415,3.138,132.7036152,25.3174101
0.59812,,2458095.85185,10.8294,4142.0,0.935307,4.30907,130.1406047,25.3181929
1.095841,,2458096.34496,0.3489,5920.0,1.906,3.996,131.6535145,25.3374544
1.717,,2457218.134,0.0086,6049.0,1.69089,4.03491,207.7914221,-18.4617958
0.7165461,25.5,2457218.13876,0.2089,,1.754,,207.7914221,-18.4617958
12.426,,2457227.549,0.0431,5926.0,1.34653,4.21306,207.1245787,-18.1966339
16.715029,3.402,2457227.314166,,5406.0,0.854,4.49,205.9042638,-18.0237509
2.76294135,,2457226.109408,0.052,5794.0,0.787867,4.66219,205.1470099,-17.6951755
2.289363,1.48,2457217.96319,,5171.0,0.8,4.55,207.2061241,-17.6098985
2.28943,1.323,2457261.4607,,,,,207.2061241,-17.6098985
2.28896,1.83,2457217.9789,0.0535,,0.749,,207.2061241,-17.6098985
5.21378,2.29,2457222.4789,0.0828,,0.749,,207.2061241,-17.6098985
5.213965,2.27,2457222.478879,,5171.0,0.8,4.55,207.2061241,-17.6098985
5.213,,2457222.483,0.0709,5008.0,0.776343,4.57756,207.2061241,-17.6098985
1.225,,2457217.565,0.0224,5222.0,0.836336,4.5427,201.4621196,-17.4831758
0.595621,0.58303133,2457218.39253,,5338.0,0.863058,4.51,202.9589465,-17.430656
1.605718,16.0,2457218.06493,0.5483,,1.9,,204.3052548,-17.3974158
6.669,,2457220.874,0.0213,5048.0,0.871771,4.48154,208.0779538,-17.2255152
17.788652,47.8,2457233.41005,,,0.76,,199.9766096,-17.1811426
12.9348816,,2457226.55637,1.516,,,,203.0872028,-17.0612731
12.93562,33.6,2457226.55444,1.573,,1.511,,203.0872028,-17.0612731
51.735,15.3,2457230.1901,0.591,,1.511,,203.0872028,-17.0612731
34.144,,2457228.926,0.2836,5690.0,1.68987,3.98668,204.641935,-16.9101076
34.1365,10.54,2457228.9374,0.3371,,1.791,,204.641935,-16.9101076
3.56467,1.62,2457218.0187,0.075,,0.564,,207.9868012,-16.7067415
21.0791,2.71,2457231.7039,0.0353,,1.362,,205.8941425,-16.6906686
4.17458,1.08,2457220.4236,0.1339,,0.28,,208.3794531,-16.6597257
4.174,,2457220.427,0.1013,3620.0,0.539055,4.7034,208.3794531,-16.6597257
15.9489,2.48,2457230.085,0.0331,,1.29,,206.18678,-16.2174553
2.548,,2457218.171,0.2483,3545.0,0.515866,4.72355,201.6867614,-16.1053809
2.55068936,,2457225.785311,0.828,3545.0,0.515866,4.72355,201.6867614,-16.1053809
2.549,,2457218.158,0.1961,,,,201.6629627,-16.0949766
2.55234671,,2457225.753212,0.63,,,,201.6629627,-16.0949766
2.500285,64.215,2457218.059974,,6051.0,2.481,3.934,204.9970365,-16.0828568
0.6962935,3.85,2457217.84757,0.1033,,1.107,,200.769792,-15.8187466
22.446,,2457225.441,0.1546,4118.0,0.693527,4.5655,201.2720189,-15.6251955
26.147,,2457241.871,0.0568,5442.0,0.811187,4.59709,200.3561232,-15.3772776
26.143,2.52,2457241.8803,0.0848,,0.8091,,200.3561232,-15.3772776
14.452,,2457219.472,0.0331,6318.0,1.11514,4.43683,210.5470248,-15.069495
36.152,,2457236.741,0.0331,6318.0,1.11514,4.43683,210.5470248,-15.069495
6.16596,,2457218.9799,,5882.0,1.3,,202.5628516,-15.004401
46.4221,2.66,2457237.2772,0.0793,,0.893,,203.6288001,-14.9473302
46.423,,2457237.276,0.0681,5642.0,0.851697,4.5775,203.6288001,-14.9473302
1.852487,36.8,2457217.7697,0.1299,,2.479,,200.629388,-14.7658933
3.746332,1.638,2457219.499592,,4395.0,0.726,4.615,201.2040701,-14.6943019
28.24765,38.5,2457227.59337,0.9811,,3.57,,201.6526072,-14.4257998
25.3606,3.11,2457240.4076,0.1341,,0.815,,200.818058,-14.4242673
15.7086,1.96,2457230.4647,0.1002,,0.595,,200.3573836,-14.4065123
9.886,1.59,2457225.5976,0.0652,,0.595,,200.3573836,-14.4065123
18.0983,2.17,2457263.2616,,,,,202.3313765,-14.3594358
18.0971,2.21,2457227.0642,0.0298,,1.2247,,202.3313765,-14.3594358
12.0156,2.81,2457219.485,0.0489,,1.2247,,202.3313765,-14.3594358
12.012,,2457219.497,0.0315,5915.0,1.21834,4.29996,202.3313765,-14.3594358
0.946,,2457218.175,0.0301,5336.0,0.801858,4.59366,204.3695477,-14.3488709
0.946033,1.81,2457218.1754,0.0425,,0.827,,204.3695477,-14.3488709
0.94599529,,2457225.74179,0.028,5336.0,0.801858,4.59366,204.3695477,-14.3488709
2.667929,50.7,2457222.50331,,,0.94,,203.628266,-14.2716133
1.063,,2457217.992,0.0231,,,,204.298679,-14.1806008
0.531704,2.0,2457217.99592,,,1.06,,204.298679,-14.1806008
0.531684,2.13,2457217.99489,0.0236,,1.29,,204.298679,-14.1806008
24.006249,23.826,2458196.197885,,6150.0,1.506,4.165,200.636318,-14.1493687
1.11562824,,2457225.136348,0.017,5806.0,1.09339,4.37755,202.1307681,-14.1262594
1.115563,1.29,2457218.4419,0.01969,,0.98,,202.1307681,-14.1262594
1.115,,2457218.451,0.0151,5806.0,1.09339,4.37755,202.1307681,-14.1262594
1.115485,1.6,2457218.44536,,,1.1,,202.1307681,-14.1262594
24.462656,13.6,2457233.68638,,,0.68,,209.40894,-13.9427014
24.482,28.2,2457233.6552,0.804,,2.763,,209.40894,-13.9427014
0.779,,2457217.748,0.0369,,,,205.0089966,-13.9320171
0.77923,0.87,2457256.71,,,,,205.0089966,-13.9320171
12.666,,2457226.371,0.1876,5690.0,0.948236,4.48856,211.4712473,-13.7793982
0.876,,2457218.236,0.0146,5849.0,1.49707,4.11289,203.6372848,-13.7126707
3.26945,3.9,2457220.2279,1.55,,0.276,,198.5529306,-13.7068228
3.269,,2457220.227,1.2473,3201.0,0.263126,4.96918,198.5529306,-13.7068228
4.07337,0.928,2457219.7133,0.0125,,0.794,,199.6708697,-13.4961732
21.6768,2.87,2457229.6446,0.0726,,1.003,,198.9124602,-12.8270262
21.677,,2457229.646,0.0605,5751.0,0.968677,4.47855,198.9124602,-12.8270262
6.80213,1.82,2457223.354,0.208,,0.379,,197.6597732,-12.7798456
6.883,,2457221.015,0.4417,4900.0,1.76623,,207.4185115,-12.7382191
6.88385,8.3,2457221.0138,1.207,,0.743,,207.4185115,-12.7382191
34.885,1.6,2457280.6254,,,,,202.488752,-12.7347749
15.381,,2457225.459,0.0542,5079.0,0.752111,4.61492,202.488752,-12.7347749
15.3866,2.41,2457225.4491,0.0796,,0.758,,202.488752,-12.7347749
11.52898,3.93,2457223.3662,0.494,,0.533,,204.3571304,-12.2111141
3.44791,1.46,2457218.3841,0.048,,0.637,,205.9108687,-12.2014333
14.4307,2.28,2457231.8631,0.0487,,0.986,,203.5568283,-12.1919577
8.121,,2457219.08,0.0406,5672.0,1.04659,4.40284,202.131366,-12.1073328
8.12088,2.69,2457219.0861,0.0534,,1.101,,202.131366,-12.1073328
13.485,1.67,2457223.5257,0.0337,,0.879,,205.7330059,-11.9943775
13.484958,1.56669509,2457223.52392,,5378.0,0.843263,4.47,205.7330059,-11.9943775
13.479,,2457223.541,0.0222,5196.0,0.915477,,205.7330059,-11.9943775
17.732736,23.212,2457224.843048,,5650.0,1.684,4.03,207.9180889,-11.9692128
1.096473,78.0,2457218.251,2.977,,1.913,,204.3848264,-11.8678329
4.162764,1.5,2457220.44413,,,0.83,,206.5823122,-11.5563527
13.7043,1.3,2457227.4182,0.0158,,1.014,,204.4388528,-11.4446549
13.52583,2.49,2457220.4675,0.0704,,0.927,,202.1678472,-11.399279
13.524,,2457220.467,0.0533,5531.0,0.913819,4.50446,202.1678472,-11.399279
13.52475,2.27671392,2457220.46933,,5570.0,0.888236,4.59,202.1678472,-11.399279
14.311,,2457222.751,0.0689,4076.0,0.614558,4.66576,200.8482825,-11.3748144
21.379793,2.088,2457219.994968,,4722.0,0.698,4.665,201.8001504,-11.2472248
8.853025,14.4,2457223.89441,,,0.87,,205.901248,-11.2236222
8.85007649,,2457232.757603,2.597,5639.0,1.12685,4.33434,205.901248,-11.2236222
8.853,,2457223.894,2.4303,5639.0,1.12685,4.33434,205.901248,-11.2236222
2.58166013,,2457225.607829,0.499,4998.0,0.86975,4.47836,204.4397379,-11.1925496
2.581467,5.7,2457223.02856,,,0.78,,204.4397379,-11.1925496
2.581,,2457217.866,0.3992,4998.0,0.86975,4.47836,204.4397379,-11.1925496
2.581,,2457217.865,3.029,4076.0,0.757718,4.48523,204.4414384,-11.1922123
2.58148,5.38,2457223.028,,4076.0,0.757718,4.48523,204.4414384,-11.1922123
14.069,,2457221.323,0.0302,,,,208.7531273,-11.0799874
14.07277587,,2457235.380818,0.04,,,,208.7531273,-11.0799874
14.069121,1.8,2457221.32168,,,0.84,,208.7531273,-11.0799874
14.06928,1.83,2457221.3218,0.0402,,0.876,,208.7531273,-11.0799874
14.069759,1.86705079,2457221.32133,,5343.0,0.890011,4.51,208.7531273,-11.0799874
18.155653,55.0,2457238.55344,,,0.83,,198.0748597,-11.0478053
6.373,,2457221.769,1.7919,6518.0,0.991065,4.57297,197.8574379,-11.0424912
3.021944,10.8,2457218.53908,0.1186,,1.082,,204.8157607,-10.9070038
3.021795,45.9,2457221.56299,,,1.09,,204.8157607,-10.9070038
3.02164122,,2457227.609901,0.149,5975.0,1.05594,4.43218,204.8157607,-10.9070038
7.783286,155.7,2457220.89575,,,3.83,,205.8579439,-10.8969688
7.785,,2457220.882,0.0541,4726.0,3.88144,,205.8579439,-10.8969688
7.78608,10.9,2457220.8799,0.0622,,3.34,,205.8579439,-10.8969688
7.785227,7.72094189,2457220.8833,,5084.0,1.817689,3.95,205.8579439,-10.8969688
15.2841,1.12,2457273.4906,,,,,205.4445125,-10.8625468
15.2841,1.39,2457227.6405,0.0187,,0.9757,,205.4445125,-10.8625468
15.28078,1.26,2457227.644991,,6004.0,0.98,4.45,205.4445125,-10.8625468
23.226001,2.24459533,2457237.04368,,5928.0,0.952744,4.49,205.4445125,-10.8625468
23.2259,2.31,2457237.0457,0.0506,,0.9757,,205.4445125,-10.8625468
23.24110566,,2457237.030509,0.069,6055.0,0.94987,4.53582,205.4445125,-10.8625468
23.228555,2.32,2457237.042492,,6004.0,0.98,4.45,205.4445125,-10.8625468
23.226,,2457237.044,0.0469,6055.0,0.94987,4.53582,205.4445125,-10.8625468
23.226,2.3,2457237.04406,,,0.95,,205.4445125,-10.8625468
,15.2,2457271.08485,1.101,,0.797,,207.7210252,-10.7983689
4.54462,6.6,2457217.5553,0.929,,0.487,,205.6712596,-10.7690389
4.545,,2457217.55,0.6354,3258.0,0.248786,4.98795,205.6712596,-10.7690389
0.72436144,,2457225.115894,3.564,3276.0,0.650416,4.60926,202.6413,-10.5554017
12.346663,2.345,2457222.548865,,5685.0,1.011,4.371,204.0629419,-10.2196639
31.4782,2.6,2457227.7215,0.1052,,0.7556,,198.2697369,-10.1126111
6.02226,2.02,2457218.8618,0.0384,,0.9738,,209.8195173,-10.0721736
0.578657,1.2,2457232.53108,,5765.0,0.93,4.4,210.6376171,-10.0236852
11.811437,2.3,2457233.78707,,5765.0,0.93,4.4,210.6376171,-10.0236852
11.81387,2.67,2457221.9709,0.0722,,0.948,,210.6376171,-10.0236852
4.352428,16.6,2457223.3483,,,0.67,,200.290373,-9.9491899
4.35244,14.07,2457223.348,,4459.0,0.764238,4.51671,200.290373,-9.9491899
2.851702,2.16,2457217.5972,0.488,,0.303,,202.3909815,-9.8106709
2.85177,3.34,2457254.669,,3288.0,0.387653,4.83807,202.3909815,-9.8106709
11.090822,1.818,2458186.30951,,5763.0,0.989,4.259,202.8168022,-9.7530058
13.83851,8.26,2457222.4571,0.0882,,2.65,,199.5780236,-9.6918696
13.843,,2457222.438,0.0781,5500.0,2.5315,3.61358,199.5780236,-9.6918696
13.843725,6.76064604,2457222.43652,,5465.0,1.641721,3.98,199.5780236,-9.6918696
13.843678,21.4,2457222.43871,,,0.81,,199.5780236,-9.6918696
0.32814902,,2457225.259789,0.235,5793.0,1.10379,4.36933,210.272978,-9.5402384
0.984,,2457218.042,0.1628,5793.0,1.10379,4.36933,210.272978,-9.5402384
0.32815384,17.1,2457217.71312,0.2247,,1.168,,210.272978,-9.5402384
0.328152,14.79153996,2457218.0415,,5759.0,0.990035,4.46,210.272978,-9.5402384
8.253,,2457219.873,0.0845,5419.0,2.02234,3.79948,211.663174,-9.5265636
8.25178,6.99,2457219.8752,0.0954,,2.161,,211.663174,-9.5265636
20.5827,2.98,2457229.7807,0.0664,,1.099,,199.3986621,-9.4890061
19.1324,2.73,2457234.9751,0.0366,,1.347,,205.3894368,-9.3908612
2.45840745,,2457226.293781,0.063,5528.0,0.926086,4.49154,209.2333019,-9.1875616
2.458783,3.11,2457218.9082,0.0943,,0.964,,209.2333019,-9.1875616
2.459,,2457218.91,0.0739,5528.0,0.926086,4.49154,209.2333019,-9.1875616
1.05459,1.29,2457256.57,,3445.0,0.533176,4.7085,201.7367736,-8.7634221
1.054612,1.0,2457221.76792,,,0.36,,201.7367736,-8.7634221
1.055,,2457217.551,0.0458,3445.0,0.533176,4.7085,201.7367736,-8.7634221
1.054604,0.824,2457217.54967,0.0658,,0.3,,201.7367736,-8.7634221
1.83473,29.93,2457222.389,,4385.0,0.826606,4.44232,202.4855554,-8.7497693
,24.0,2457242.66141,0.9679,,0.951,,207.9654567,-8.6145527
5.734172,6.2,2457218.09365,,5192.0,2.747,3.618,206.2936004,-8.5360205
62.841,,2457220.233,5.3463,4971.0,1.13363,4.24294,203.0135472,-8.5315138
25.8614,1.58,2457229.6014,0.265,,0.295,,203.3141917,-8.48463
25.86125,2.2,2457255.464,,3653.0,0.432453,4.7972,203.3141917,-8.48463
6.430383,4.309,2457219.569702,,5735.0,1.054,4.314,200.1193283,-8.4644381
6.78882,2.8,2457222.7288,0.02348,,1.76,,201.2364742,-8.1717857
6.788344,1.6,2457222.73345,,,1.11,,201.2364742,-8.1717857
6.789076,1.60793495,2457222.72547,,5758.0,0.978493,4.46,201.2364742,-8.1717857
6.788,,2457222.73,0.0204,5841.15,1.09551,,201.2364742,-8.1717857
18.5159,3.3,2457221.1692,0.03067,,1.76,,201.2364742,-8.1717857
18.517319,1.86157195,2457221.16425,,5758.0,0.978493,4.46,201.2364742,-8.1717857
18.516,,2457221.169,0.03,5841.15,1.09551,,201.2364742,-8.1717857
2.268,,2457219.619,0.4633,5789.0,2.15197,3.78943,202.6052254,-8.130244
2.2688499,,2457226.41708,0.779,5789.0,2.15197,3.78943,202.6052254,-8.130244
7.264,,2457217.793,0.3232,,,,209.019361,-7.95213
3.4914,1.18,2457219.7264,0.0376,,0.572,,200.5835238,-7.4965081
7.685505,2.084,2458184.649192,,5176.0,0.703,4.587,202.262238,-7.3789629
13.603,,2457221.355,0.1212,4581.0,0.669035,4.64691,204.2215065,-7.3180577
13.60697954,,2457234.953293,0.146,4581.0,0.669035,4.64691,204.2215065,-7.3180577
13.603,2.586,2457234.97,0.11,4684.0,0.673,4.622,204.2215065,-7.3180577
65.55,2.69,2457227.79,0.11,4684.0,0.673,4.622,204.2215065,-7.3180577
14.78545,2.62,2457228.1816,0.1633,,0.623,,198.478571,-7.1610248
34.383193,2.856,2457220.184285,,5666.0,0.972,4.343,199.2565541,-7.0707387
