,ra,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_trandurh,pl_trandep,pl_rade,pl_radeerr1,pl_radeerr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_loggerr2,st_rad,st_raderr1,st_raderr2
5917,129.315369,-47.38349,-2.535,0.099,-0.099,3.338,0.094,-0.094,2458518.70004,0.00114,-0.00114,2.42232,0.00022,-0.00022,2.873,5696.52,,,,2838.0,162.0,-162.0,,,,,,
5918,336.464302,15.856639,-13.626,0.066,-0.066,-23.854,0.064,-0.064,2459849.075692,0.000978,-0.000978,2.709631,0.0002372,-0.0002372,3.282,10819.0,14.9972,0.920548,-0.920548,5838.0,130.4,-130.4,4.12,0.08,-0.08,1.47,0.09,-0.09
5919,349.6554,32.301651,5.03,0.061,-0.061,-1.423,0.048,-0.048,2459848.430555,0.002513,-0.002513,3.7473877,0.0007698,-0.0007698,4.812,3898.0,12.686,0.713274,-0.713274,5876.0,128.4,-128.4,3.79,0.08,-0.08,2.18,0.11,-0.11
5920,292.031505,49.388635,0.468,0.031,-0.031,5.103,0.039,-0.039,2459851.702422,0.005165,-0.005165,6.1429164,6.72e-05,-6.72e-05,4.475,3871.0,7.50153,,,6291.9,20.2,-20.2,4.25,,,1.38,,
5921,309.85366,48.172079,5.395,0.033,-0.033,-0.744,0.032,-0.032,2459848.262349,0.003918,-0.003918,3.8753785,2.31e-05,-2.31e-05,4.275,4016.0,18.0963,,,4637.0,122.0,-122.0,,,,2.98,,
5922,336.400015,32.524536,0.921,0.033,-0.033,-8.163,0.036,-0.036,2459847.722268,0.00609,-0.00609,3.5257269,3.16e-05,-3.16e-05,3.457,4435.0,7.44411,,,5638.1,141.5,-141.5,4.26,,,1.23,,
5923,332.479847,19.828871,7.141,0.068,-0.068,-20.108,0.067,-0.067,2459845.063156,0.00051,-0.00051,4.1877227,0.0002476,-0.0002476,1.891,16840.0,13.6598,0.830361,-0.830361,5543.0,127.7,-127.7,4.39,0.08,-0.08,1.05,0.06,-0.06
5924,325.850355,24.226309,5.325,0.079,-0.079,-10.346,0.071,-0.071,2459844.363828,0.001808,-0.001808,9.6422713,0.0007968,-0.0007968,2.946,28921.0,12.931,,,4799.0,122.0,-122.0,4.58,,,0.75,,
5925,330.320065,45.496557,-8.799,0.025,-0.025,1.587,0.026,-0.026,2459847.553938,0.001431,-0.001431,3.89989,8.7e-06,-8.7e-06,1.888,10637.0,14.6814,0.826029,-0.826029,6076.0,134.0,-134.0,4.2,0.08,-0.08,1.41,0.07,-0.07
5926,324.957244,35.683969,-9.637,0.018,-0.018,-6.81,0.028,-0.028,2459844.841088,0.001093,-0.001093,5.8878118,9.8e-06,-9.8e-06,1.815,9767.0,12.1166,0.694133,-0.694133,5925.0,129.8,-129.8,4.41,0.08,-0.08,1.08,0.05,-0.05
5927,329.879069,39.046295,2.279,0.025,-0.025,-0.196,0.034,-0.034,2459818.612268,0.004942,-0.004942,19.2445211,0.0001141,-0.0001141,5.3,17453.0,20.2585,,,6203.0,122.0,-122.0,4.32,,,1.25,,
5928,112.570665,-39.33963,-1.404,0.067,-0.067,-16.956,0.097,-0.097,2459972.603908,0.001284,-0.001284,7.7614672,1e-05,-1e-05,4.156,3110.0,7.85756,0.371844,-0.371844,6515.0,134.8,-134.8,4.25,0.09,-0.09,1.43,0.07,-0.07
5929,331.350863,27.053115,-0.602,0.069,-0.069,-11.762,0.061,-0.061,2459849.581128,0.000837,-0.000837,2.7432173,0.0001782,-0.0001782,2.595,25316.0,20.2394,,,6087.0,123.0,-123.0,4.29,,,1.27,,
5930,333.847555,46.302271,0.993,0.039,-0.039,-1.698,0.043,-0.043,2459847.834654,0.002943,-0.002943,2.7649802,0.0006825,-0.0006825,1.659,3575.0,10.4307,0.747897,-0.747897,7776.0,122.7,-122.7,4.2,0.08,-0.08,1.78,0.06,-0.06
5931,348.757303,13.665258,0.646,0.051,-0.051,-6.02,0.03,-0.03,2459848.402483,0.008155,-0.008155,4.7783263,0.0028033,-0.0028033,5.374,5107.0,13.2499,1.82631,-1.82631,5622.0,127.8,-127.8,3.84,0.08,-0.08,2.0,0.12,-0.12
5932,305.049617,53.962591,-9.593,0.025,-0.025,-4.136,0.027,-0.027,2459840.156934,0.003839,-0.003839,8.7311119,5.02e-05,-5.02e-05,4.4,4827.0,11.1752,0.693972,-0.693972,6047.0,162.1,-162.1,4.03,0.08,-0.08,1.69,0.08,-0.08
5933,342.638433,9.443405,-9.46,0.071,-0.071,-27.432,0.072,-0.072,2459847.821903,0.000589,-0.000589,3.6153701,0.0001742,-0.0001742,2.714,14305.0,13.6892,0.81267,-0.81267,5516.0,129.2,-129.2,4.32,0.08,-0.08,1.13,0.06,-0.06
5934,356.894089,56.070682,-4.519,0.026,-0.026,-5.768,0.025,-0.025,2459880.180162,0.003662,-0.003662,6.3720834,3.02e-05,-3.02e-05,1.322,5659.0,12.1724,1.12746,-1.12746,6390.0,141.0,-141.0,4.19,0.09,-0.09,1.5,0.07,-0.07
5935,355.780987,56.810046,-5.735,0.04,-0.04,-0.823,0.039,-0.039,2459880.953725,0.001455,-0.001455,1.4252334,2.8e-06,-2.8e-06,1.673,6901.0,10.7664,0.657638,-0.657638,6033.0,167.1,-167.1,4.23,0.08,-0.08,1.35,0.07,-0.07
5936,351.921174,57.397022,2.029,0.03,-0.03,-1.635,0.029,-0.029,2459875.809804,0.00424,-0.00424,5.5133822,4.42e-05,-4.42e-05,3.601,7833.0,12.462,,,5785.0,122.0,-122.0,4.13,,,1.46,,
5937,329.568097,55.805578,-10.278,0.043,-0.043,-11.151,0.046,-0.046,2459873.021669,0.003708,-0.003708,4.7061119,2.33e-05,-2.33e-05,3.03,2559.0,4.75935,0.341463,-0.341463,5660.0,229.6,-229.6,4.44,0.09,-0.09,1.0,0.05,-0.05
5938,320.802718,53.141253,-5.296,0.039,-0.039,-5.642,0.033,-0.033,2459880.415341,0.001627,-0.001627,5.5867425,1.28e-05,-1.28e-05,2.46,15688.0,13.0389,,,5444.0,122.0,-122.0,4.4,,,1.02,,
